"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2016","217.00","217.00","217.00","217.00","-","-4.48%"
"Aug 31, 2016","227.18","227.18","227.18","227.18","-","0.75%"
"Aug 30, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 26, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 25, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 24, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 23, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 22, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 19, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 18, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 17, 2016","225.50","225.50","225.50","225.50","-","0.00%"
"Aug 16, 2016","225.50","225.50","225.50","225.50","-","0.67%"
"Aug 15, 2016","224.00","224.00","224.00","224.00","0.02K","-1.75%"
"Aug 12, 2016","228.00","228.00","228.00","228.00","-","0.00%"
"Aug 11, 2016","228.00","228.00","228.00","228.00","-","0.00%"
"Aug 10, 2016","228.00","228.00","228.00","228.00","-","0.00%"
"Aug 09, 2016","228.00","228.00","228.00","228.00","-","0.00%"
"Aug 08, 2016","228.00","228.00","228.00","228.00","0.16K","0.00%"
"Aug 05, 2016","228.00","228.00","228.00","228.00","0.02K","1.79%"
"Aug 04, 2016","224.00","224.00","224.00","224.00","0.05K","-0.44%"
"Aug 03, 2016","225.00","225.00","225.00","225.00","0.22K","-3.43%"
"Aug 02, 2016","233.00","233.00","233.00","233.00","0.12K","0.00%"
"Aug 01, 2016","233.00","233.00","233.00","233.00","0.11K","6.32%"
"Jul 29, 2016","219.14","219.14","219.14","219.14","-","0.52%"
"Jul 28, 2016","218.00","218.00","218.00","218.00","-","0.46%"
"Jul 27, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 26, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 25, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 22, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 21, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 20, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 19, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 18, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 15, 2016","217.00","217.00","217.00","217.00","-","0.00%"
"Jul 14, 2016","217.00","217.00","217.00","217.00","-","2.36%"
"Jul 13, 2016","212.00","212.00","212.00","212.00","-","0.00%"
"Jul 12, 2016","212.00","212.00","212.00","212.00","-","0.00%"
"Jul 11, 2016","212.00","212.00","212.00","212.00","-","0.00%"
"Jul 08, 2016","212.00","212.00","212.00","212.00","-","-0.93%"
"Jul 07, 2016","214.00","214.00","214.00","214.00","-","0.00%"
"Jul 06, 2016","214.00","214.00","214.00","214.00","-","0.00%"
"Jul 05, 2016","214.00","214.00","214.00","214.00","0.48K","0.00%"
"Jul 04, 2016","214.00","214.00","214.00","214.00","-","0.00%"
"Jul 01, 2016","214.00","214.00","214.00","214.00","-","-6.44%"
"Jun 30, 2016","228.73","228.73","228.73","228.73","0.03K","-0.55%"
"Jun 29, 2016","230.00","230.00","230.00","230.00","0.03K","0.00%"
"Jun 28, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 27, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 24, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 23, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 22, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 21, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 20, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 17, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 16, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 15, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 14, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 13, 2016","230.00","230.00","230.00","230.00","-","0.00%"
"Jun 10, 2016","230.00","230.00","230.00","230.00","0.02K","-2.13%"
"Jun 09, 2016","235.00","235.00","235.00","235.00","0.01K","-1.26%"
"Jun 08, 2016","238.00","238.00","238.00","238.00","0.02K","-2.46%"
"Jun 07, 2016","244.00","244.00","244.00","244.00","-","0.00%"
"Jun 06, 2016","244.00","244.00","244.00","244.00","-","0.00%"
"Jun 03, 2016","244.00","244.00","244.00","244.00","-","0.00%"
"Jun 02, 2016","244.00","244.00","244.00","244.00","-","0.00%"
"Jun 01, 2016","244.00","244.00","244.00","244.00","0.04K","-20.96%"
"May 31, 2016","308.70","308.70","308.70","308.70","-","1.21%"
"May 27, 2016","305.00","305.00","305.00","305.00","-","0.00%"
"May 26, 2016","305.00","305.00","305.00","305.00","0.01K","0.66%"
"May 25, 2016","303.00","303.00","303.00","303.00","-","0.00%"
"May 24, 2016","303.00","303.00","303.00","303.00","-","0.00%"
"May 23, 2016","303.00","303.00","303.00","303.00","0.01K","1.00%"
"May 20, 2016","300.00","300.00","300.00","300.00","0.03K","-1.64%"
"May 19, 2016","305.00","305.00","305.00","305.00","-","0.00%"
"May 18, 2016","305.00","305.00","305.00","305.00","-","0.00%"
"May 17, 2016","305.00","305.00","305.00","305.00","-","-1.61%"
