"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2009","6,179.25","6,179.25","6,179.25","6,179.25","-","0.25%"
"Sep 18, 2009","6,163.75","6,163.75","6,163.75","6,163.75","-","-3.31%"
"Sep 17, 2009","6,374.75","6,374.75","6,374.75","6,374.75","-","4.10%"
"Sep 14, 2009","6,123.75","6,123.75","6,123.75","6,123.75","-","-1.79%"
"Sep 11, 2009","6,235.50","6,235.50","6,235.50","6,235.50","-","-0.69%"
"Sep 10, 2009","6,279.00","6,279.00","6,279.00","6,279.00","-","-1.93%"
"Sep 09, 2009","6,402.50","6,402.50","6,402.50","6,402.50","-","-1.00%"
"Sep 08, 2009","6,467.25","6,467.25","6,467.25","6,467.25","-","2.37%"
"Sep 07, 2009","6,317.50","6,317.50","6,317.50","6,317.50","-","0.80%"
"Sep 04, 2009","6,267.50","6,267.50","6,267.50","6,267.50","-","0.33%"
"Sep 03, 2009","6,247.00","6,247.00","6,247.00","6,247.00","-","1.32%"
"Sep 02, 2009","6,165.50","6,165.50","6,165.50","6,165.50","-","-0.45%"
"Sep 01, 2009","6,193.50","6,193.50","6,193.50","6,193.50","-","-4.28%"
"Aug 28, 2009","6,470.50","6,470.50","6,470.50","6,470.50","-","3.28%"
"Aug 27, 2009","6,265.00","6,265.00","6,265.00","6,265.00","-","-0.35%"
"Aug 26, 2009","6,287.00","6,287.00","6,287.00","6,287.00","-","-0.36%"
"Aug 25, 2009","6,309.50","6,309.50","6,309.50","6,309.50","-","-1.87%"
"Aug 24, 2009","6,429.50","6,429.50","6,429.50","6,429.50","-","2.42%"
"Aug 21, 2009","6,277.50","6,277.50","6,277.50","6,277.50","-","3.63%"
"Aug 20, 2009","6,057.50","6,057.50","6,057.50","6,057.50","-","0.05%"
"Aug 17, 2009","6,054.50","6,054.50","6,054.50","6,054.50","-","-3.17%"
"Aug 14, 2009","6,252.50","6,252.50","6,252.50","6,252.50","-","-2.07%"
"Aug 13, 2009","6,384.50","6,384.50","6,384.50","6,384.50","-","3.09%"
"Aug 12, 2009","6,193.00","6,193.00","6,193.00","6,193.00","-","2.63%"
"Aug 11, 2009","6,034.50","6,034.50","6,034.50","6,034.50","-","-1.56%"
"Aug 10, 2009","6,130.00","6,130.00","6,130.00","6,130.00","-","-0.26%"
"Aug 07, 2009","6,146.00","6,146.00","6,146.00","6,146.00","-","2.05%"
"Aug 06, 2009","6,022.50","6,022.50","6,022.50","6,022.50","-","-2.88%"
"Aug 05, 2009","6,201.00","6,201.00","6,201.00","6,201.00","-","2.48%"
"Aug 04, 2009","6,051.00","6,051.00","6,051.00","6,051.00","-","0.75%"
"Aug 03, 2009","6,006.00","6,006.00","6,006.00","6,006.00","-","4.93%"
"Jul 31, 2009","5,724.00","5,724.00","5,724.00","5,724.00","-","2.03%"
"Jul 30, 2009","5,610.00","5,610.00","5,610.00","5,610.00","-","3.60%"
"Jul 29, 2009","5,415.00","5,415.00","5,415.00","5,415.00","-","-1.99%"
"Jul 28, 2009","5,525.00","5,525.00","5,525.00","5,525.00","-","-1.37%"
"Jul 27, 2009","5,602.00","5,602.00","5,602.00","5,602.00","-","1.41%"
"Jul 24, 2009","5,524.00","5,524.00","5,524.00","5,524.00","-","-0.12%"
"Jul 23, 2009","5,530.50","5,530.50","5,530.50","5,530.50","-","0.66%"
"Jul 22, 2009","5,494.00","5,494.00","5,494.00","5,494.00","-","1.92%"
"Jul 21, 2009","5,390.50","5,390.50","5,390.50","5,390.50","-","0.89%"
"Jul 20, 2009","5,342.75","5,342.75","5,342.75","5,342.75","-","0.68%"
"Jul 17, 2009","5,306.50","5,306.50","5,306.50","5,306.50","-","0.95%"
"Jul 16, 2009","5,256.50","5,256.50","5,256.50","5,256.50","-","7.31%"
"Jul 13, 2009","4,898.50","4,898.50","4,898.50","4,898.50","-","0.85%"
"Jul 10, 2009","4,857.00","4,857.00","4,857.00","4,857.00","-","-0.56%"
"Jul 09, 2009","4,884.50","4,884.50","4,884.50","4,884.50","-","3.64%"
"Jul 08, 2009","4,713.00","4,713.00","4,713.00","4,713.00","-","-3.21%"
"Jul 07, 2009","4,869.50","4,869.50","4,869.50","4,869.50","-","-1.79%"
"Jul 06, 2009","4,958.50","4,958.50","4,958.50","4,958.50","-","-0.23%"
"Jul 03, 2009","4,970.00","4,970.00","4,970.00","4,970.00","-","-1.06%"
"Jul 02, 2009","5,023.25","5,023.25","5,023.25","5,023.25","-","-1.08%"
"Jul 01, 2009","5,078.00","5,078.00","5,078.00","5,078.00","-","2.50%"
"Jun 30, 2009","4,954.00","4,954.00","4,954.00","4,954.00","-","-2.61%"
"Jun 29, 2009","5,087.00","5,087.00","5,087.00","5,087.00","-","1.25%"
"Jun 26, 2009","5,024.00","5,024.00","5,024.00","5,024.00","-","-1.89%"
"Jun 25, 2009","5,121.00","5,121.00","5,121.00","5,121.00","-","1.58%"
"Jun 24, 2009","5,041.50","5,041.50","5,041.50","5,041.50","-","5.25%"
"Jun 23, 2009","4,790.25","4,790.25","4,790.25","4,790.25","-","0.91%"
"Jun 22, 2009","4,747.00","4,747.00","4,747.00","4,747.00","-","-5.39%"
"Jun 19, 2009","5,017.50","5,017.50","5,017.50","5,017.50","-","1.23%"
"Jun 18, 2009","4,956.50","4,956.50","4,956.50","4,956.50","-","-0.50%"
"Jun 15, 2009","4,981.50","4,981.50","4,981.50","4,981.50","-","-4.43%"
"Jun 12, 2009","5,212.50","5,212.50","5,212.50","5,212.50","-","-2.67%"
"Jun 11, 2009","5,355.25","5,355.25","5,355.25","5,355.25","-","3.98%"
"Jun 10, 2009","5,150.25","5,150.25","5,150.25","5,150.25","-","-0.05%"
"Jun 09, 2009","5,153.00","5,153.00","5,153.00","5,153.00","-","3.82%"
